,Name,Term,ES,NES
41,A032148,Oxidative Phosphorylation,9398.236339502422,1.133255904754355
42,A040093,Mitotic Spindle,9393.772051629012,1.1327175930530626
43,A028334,Myc Targets V1,9388.812923418242,1.132119612631601
44,A032147,Myc Targets V1,9387.129283343293,1.131916596343492
45,A030205,Protein Secretion,9377.388958509968,1.130742090805129
46,A039958,Protein Secretion,9359.127799983118,1.1285401281197234
47,A033915,E2F Targets,9342.963674347066,1.1265910293568786
48,A032137,Protein Secretion,9332.018685850926,1.1252712633505073
49,A033918,Mitotic Spindle,9325.711061570291,1.124510678895852
50,A030988,Oxidative Phosphorylation,9324.318888828278,1.1243428082525386
51,A032137,Oxidative Phosphorylation,9324.09560348906,1.1243158841127348
52,A032145,Protein Secretion,9319.597523145845,1.1237734976558649
53,A029222,Myc Targets V1,9318.119452622917,1.1235952693067106
54,A029224,Myc Targets V1,9309.657915767702,1.1225749622769583
55,A030207,Oxidative Phosphorylation,9299.845322174257,1.1213917424441064
56,A039959,Protein Secretion,9296.135240162293,1.1209443742150795
57,A028333,Oxidative Phosphorylation,9291.832903875009,1.1204255909215257
58,A033918,Oxidative Phosphorylation,9289.953981138224,1.120199027105814
59,A030210,Myc Targets V1,9289.239772286928,1.1201129065435382
60,A008288,Protein Secretion,9282.417707221395,1.1192902899121986
61,A039973,Oxidative Phosphorylation,9282.208552261689,1.119265069638465
62,A032148,Protein Secretion,9275.658126364018,1.118475207736824
63,A030205,Oxidative Phosphorylation,9270.352296426998,1.1178354214100557
64,A029227,Protein Secretion,9270.330907329097,1.1178328422749266
65,A028335,Myc Targets V1,9266.65636563965,1.1173897595606381
66,A032143,Oxidative Phosphorylation,9266.52305268835,1.1173736844499702
67,A030982,Protein Secretion,9258.664164073927,1.1164260458074233
68,A008277,Protein Secretion,9257.850271176254,1.116327905167115
69,A039959,Oxidative Phosphorylation,9255.70755167812,1.1160695322729068
70,A032143,Protein Secretion,9252.935364114099,1.1157352570097057
71,A029224,Protein Secretion,9252.44082475558,1.1156756245820958
72,A028340,Protein Secretion,9243.452628472749,1.1145918120301817
73,A029228,Myc Targets V1,9235.32907452993,1.1136122595757922
74,A039971,Oxidative Phosphorylation,9233.471168436112,1.113388229983937
75,A029229,Oxidative Phosphorylation,9228.892027924137,1.1128360691490276
76,A039958,Oxidative Phosphorylation,9228.370628191225,1.112773197850125
77,A040093,Myc Targets V1,9226.095711523729,1.1124988843882013
78,A029219,Myc Targets V1,9225.843959337317,1.1124685276657824
79,A010853,Oxidative Phosphorylation,9224.250972172977,1.1122764424654348
80,A035447,Protein Secretion,9220.84815069652,1.1118661242534091
81,A032145,Oxidative Phosphorylation,9219.798955974566,1.111739610504346
82,A030997,Oxidative Phosphorylation,9213.0909247142,1.1109307442702492
83,A039972,Protein Secretion,9212.728674295582,1.1108870634762076
84,A030989,Oxidative Phosphorylation,9210.613656652133,1.1106320309204691
85,A028333,Protein Secretion,9210.020675143596,1.1105605281648792
86,A030988,Protein Secretion,9208.276672979984,1.1103502333097146
87,A029220,Oxidative Phosphorylation,9207.847531495177,1.1102984866729986
88,A033915,Protein Secretion,9207.180626778492,1.1102180701266604
89,A030206,Oxidative Phosphorylation,9198.461227389693,1.109166669578056
90,A010853,Protein Secretion,9196.637056179556,1.1089467077979418
91,A008289,Protein Secretion,9191.252333001763,1.1082974083851302
92,A028340,Oxidative Phosphorylation,9189.734460204501,1.1081143806075746
93,A040104,Protein Secretion,9182.098511842998,1.1071936244937173
94,A006690,Protein Secretion,9179.005994864423,1.1068207233450418
95,A006690,Myc Targets V1,9167.687442782497,1.1054559123829895
96,A029218,Myc Targets V1,9165.193410938191,1.1051551776267963
97,A008287,Protein Secretion,9162.097278041598,1.1047818404643523
98,A030207,Protein Secretion,9158.703957518044,1.1043726678939758
99,A029229,Protein Secretion,9151.26657290452,1.1034758549468722
100,A033915,Interferon Alpha Response,9146.901445043019,1.1029495001346121
101,A029220,Protein Secretion,9146.193840985668,1.102864175990033
102,A010844,Protein Secretion,9135.79217948345,1.1016099253103495
103,A033918,G2-M Checkpoint,9124.65745140505,1.100267280170682
104,A032145,Mitotic Spindle,9123.03659665064,1.1000718346471996
105,A030989,Protein Secretion,9119.645719661386,1.0996629567224965
106,A008288,Oxidative Phosphorylation,9112.41195902252,1.0987906971131993
107,A039971,Protein Secretion,9111.17904462748,1.0986420301221
108,A033918,E2F Targets,9110.464442580596,1.098555862147607
109,A040104,Unfolded Protein Response,9104.969696795077,1.0978932960148113
110,A040104,TNF-alpha Signaling via NF-kB,9103.26991401527,1.0976883332108947
111,A029227,Oxidative Phosphorylation,9101.703140921114,1.0974994089493393
112,A029215,Myc Targets V1,9098.936455453835,1.0971657971386624
113,A032154,Oxidative Phosphorylation,9092.897641867996,1.0964376263514373
114,A029214,Oxidative Phosphorylation,9089.630164793336,1.0960436282059614
115,A006690,Mitotic Spindle,9087.916644107185,1.095837008861081
116,A030206,Protein Secretion,9087.522095971417,1.095789433551372
117,A039959,Mitotic Spindle,9086.169606123342,1.0956263479413615
118,A008277,Oxidative Phosphorylation,9085.690572978458,1.0955685852803256
119,A029214,Unfolded Protein Response,9081.005446262612,1.0950036444421243
120,A033915,Mitotic Spindle,9079.550083598255,1.0948281542465852
121,A039972,Oxidative Phosphorylation,9072.663700394549,1.0939977820207667
122,A029222,Protein Secretion,9071.556492927135,1.0938642729925927
123,A029224,Mitotic Spindle,9070.108339499033,1.0936896520994694
124,A040104,Oxidative Phosphorylation,9066.241344403734,1.093223363014252
125,A029219,Protein Secretion,9066.238322419838,1.093222998618107
126,A030213,Protein Secretion,9062.922918239878,1.0928232213377893
127,A008287,Oxidative Phosphorylation,9058.310614719083,1.0922670616488177
128,A032154,Protein Secretion,9040.06881853884,1.0900674337092975
129,A033918,Protein Secretion,9037.622415184303,1.0897724420803587
130,A030997,Protein Secretion,9029.926699462869,1.0888444791128848
131,A029214,Protein Secretion,9027.663194500037,1.088571541694426
132,A030213,Oxidative Phosphorylation,9024.703614150721,1.0882146702788433
133,A033915,G2-M Checkpoint,9022.010386354907,1.0878899161236806
134,A029221,Protein Secretion,9008.47786567896,1.0862581409258418
135,A039973,Unfolded Protein Response,9006.843133788325,1.0860610220728113
136,A029221,Unfolded Protein Response,9000.301816346026,1.0852722584847752
137,A040104,Mitotic Spindle,8993.116584172953,1.084405850523428
138,A033915,DNA Repair,8982.17640874057,1.083086664884769
139,A008289,Oxidative Phosphorylation,8972.851038746083,1.0819621953323433
140,A006690,Unfolded Protein Response,8967.815436604247,1.081354993549468
141,A028335,Protein Secretion,8962.401713904077,1.0807021973231288
142,A029229,Mitotic Spindle,8959.815796756504,1.080390382875095
143,A032148,Mitotic Spindle,8957.458995202061,1.0801061955891593
144,A029227,Mitotic Spindle,8949.231845160268,1.0791141513345395
145,A010844,Oxidative Phosphorylation,8947.615318725237,1.0789192277274378
146,A039973,Mitotic Spindle,8946.913874652642,1.078834646364679
147,A030210,Protein Secretion,8944.975338520986,1.078600894260729
148,A039971,G2-M Checkpoint,8944.529892133962,1.0785471815501617
149,A029217,Oxidative Phosphorylation,8944.026950726658,1.0784865359886986
150,A030997,Unfolded Protein Response,8943.989055149992,1.078481966473263
151,A029228,Protein Secretion,8940.367706243205,1.0780452978384742
152,A033918,DNA Repair,8928.624688863656,1.0766293041025994
153,A039959,Unfolded Protein Response,8928.32511635143,1.0765931811209974
154,A029217,Unfolded Protein Response,8926.154986325762,1.0763315030170604
155,A032147,Protein Secretion,8924.014029961856,1.0760733427246851
156,A032137,Mitotic Spindle,8922.048171377151,1.0758362960311831
157,A030982,Unfolded Protein Response,8920.556797778923,1.0756564635737589
158,A029220,Interferon Alpha Response,8918.916572337643,1.0754586822987078
159,A039958,Mitotic Spindle,8918.163113366,1.0753678288877315
160,A030205,Unfolded Protein Response,8916.772004002925,1.075200086468525
161,A008288,Unfolded Protein Response,8914.886448132891,1.0749727228179133
162,A029220,Mitotic Spindle,8913.182504583932,1.0747672583011179
163,A032139,Protein Secretion,8912.48178264806,1.074682764014878
164,A029227,Interferon Alpha Response,8912.040095648492,1.074629504617877
165,A033918,Unfolded Protein Response,8905.690441123857,1.0738638520823107
166,A008277,Mitotic Spindle,8899.840209816133,1.0731584208786082
167,A032147,Unfolded Protein Response,8899.511096573127,1.0731187358236154
168,A028334,Protein Secretion,8895.572424722415,1.0726438038288804
169,A032137,Unfolded Protein Response,8894.918402595016,1.0725649406878675
170,A033915,Unfolded Protein Response,8891.467083059304,1.0721487744943659
171,A029217,Protein Secretion,8889.418806715077,1.071901789722137
172,A029224,Oxidative Phosphorylation,8888.65941746087,1.0718102212272356
173,A030982,Mitotic Spindle,8888.30320732966,1.0717672687816975
174,A008277,Unfolded Protein Response,8887.614952009071,1.0716842777419044
175,A030213,Unfolded Protein Response,8885.453417924036,1.0714236361516416
176,A029221,Oxidative Phosphorylation,8879.10011452034,1.0706575436278059
177,A032148,Unfolded Protein Response,8875.35961606694,1.0702065077306533
178,A028340,Unfolded Protein Response,8874.652258652295,1.0701212133266862
179,A032145,Interferon Alpha Response,8872.85570349821,1.0699045815392916
180,A010853,Mitotic Spindle,8871.524189461628,1.0697440252296064
181,A039971,Mitotic Spindle,8870.448812078934,1.0696143543291572
182,A008287,Mitotic Spindle,8866.301387369858,1.0691142505467774
183,A030989,Unfolded Protein Response,8866.025887590231,1.069081030297707
184,A028340,Mitotic Spindle,8865.430052364238,1.0690091834358357
185,A032148,Interferon Alpha Response,8855.121623792747,1.067766174947288
186,A029220,Unfolded Protein Response,8848.123877954436,1.066922374418682
187,A010853,G2-M Checkpoint,8846.068673003683,1.0666745541828648
188,A032139,G2-M Checkpoint,8843.147506902977,1.066322314825095
189,A032143,Interferon Alpha Response,8840.38740435775,1.0659894967947634
190,A030205,Interferon Alpha Response,8839.076172584542,1.0658313861561488
191,A030207,Unfolded Protein Response,8838.487272582806,1.0657603755558438
192,A039958,G2-M Checkpoint,8833.704991848863,1.0651837197148797
193,A032145,Unfolded Protein Response,8831.569751863162,1.064926248713465
194,A032143,Mitotic Spindle,8830.053884672316,1.0647434627754662
195,A030988,Unfolded Protein Response,8829.601892676164,1.064688960783812
196,A032143,Unfolded Protein Response,8825.136965057955,1.064150571940964
197,A008287,Unfolded Protein Response,8819.64691943335,1.0634885725618566
198,A040104,G2-M Checkpoint,8819.412294242627,1.063460281042769
199,A008289,Unfolded Protein Response,8818.746943698427,1.0633800519012886
200,A030988,G2-M Checkpoint,8818.448075233478,1.0633440138149486
201,A030982,G2-M Checkpoint,8817.460326197299,1.0632249092949908
202,A008288,Interferon Alpha Response,8815.836420146361,1.0630290958407944
203,A040093,G2-M Checkpoint,8811.646797120597,1.0625239037110024
204,A030210,Mitotic Spindle,8809.102365980594,1.0622170917188918
205,A033915,Androgen Response,8808.741723152438,1.062173604770942
206,A029227,Unfolded Protein Response,8807.276784774238,1.061996959918948
207,A030205,Mitotic Spindle,8799.652522270455,1.0610776129064141
208,A029218,Protein Secretion,8799.577533913853,1.0610685706781877
209,A028333,Unfolded Protein Response,8794.7025293327,1.0604807340322764
210,A028334,Unfolded Protein Response,8794.544489373015,1.0604616772953492
211,A030988,Mitotic Spindle,8793.70431842506,1.060360368001416
212,A032139,Oxidative Phosphorylation,8792.136636471945,1.0601713341480454
213,A033915,mTORC1 Signaling,8790.961220454534,1.0600296004126768
214,A029229,Interferon Alpha Response,8790.44583791287,1.0599674546773017
215,A029224,Unfolded Protein Response,8783.156468666426,1.0590884896840778
216,A010844,Unfolded Protein Response,8777.058657037938,1.05835320480887
217,A039971,Unfolded Protein Response,8776.590098556286,1.0582967052011911
218,A029215,Protein Secretion,8772.226688493556,1.0577705575241352
219,A030989,G2-M Checkpoint,8767.085833648718,1.0571506641847954
220,A032137,G2-M Checkpoint,8764.498968108874,1.0568387353779498
221,A029229,Unfolded Protein Response,8763.8917092791,1.0567655110377976
222,A028334,Oxidative Phosphorylation,8760.303567553667,1.0563328465834732
223,A028335,Oxidative Phosphorylation,8758.88751250466,1.0561620961694833
224,A030206,Unfolded Protein Response,8757.701589377191,1.0560190954682624
225,A029222,Oxidative Phosphorylation,8756.95663782046,1.0559292678963728
226,A030982,Interferon Alpha Response,8755.918499941208,1.0558040874008934
227,A029228,Mitotic Spindle,8754.06156034827,1.055580174351418
228,A039959,G2-M Checkpoint,8753.866353710699,1.055556635990955
229,A029215,Mitotic Spindle,8741.442999689234,1.0540586060635204
230,A008288,Mitotic Spindle,8740.700221308163,1.0539690405369828
231,A029214,Mitotic Spindle,8739.518237012988,1.053826514787103
232,A032154,G2-M Checkpoint,8737.969940815183,1.0536398185022804
233,A030207,Interferon Alpha Response,8737.84854639865,1.0536251805495442
234,A008289,Mitotic Spindle,8734.496873854261,1.053221029965911
235,A029214,TNF-alpha Signaling via NF-kB,8733.699806382212,1.0531249181650841
236,A030207,Mitotic Spindle,8733.36401402652,1.0530844277309097
237,A029224,Interferon Alpha Response,8726.968848894696,1.0523132874461036
238,A029222,G2-M Checkpoint,8723.363722764016,1.051878574982255
239,A039972,Mitotic Spindle,8719.700486721471,1.0514368555227993
240,A010853,E2F Targets,8718.695757155838,1.0513157034606673
241,A032145,Androgen Response,8716.742486448587,1.0510801746356182
242,A030207,G2-M Checkpoint,8713.709324215743,1.050714430586812
243,A028334,Mitotic Spindle,8713.473819376142,1.0506860329981118
244,A010844,Mitotic Spindle,8709.611347726297,1.0502202893579209
245,A032139,Unfolded Protein Response,8705.34310937437,1.0497056176535193
246,A039958,Interferon Alpha Response,8703.782037589266,1.0495173808658598
247,A030213,G2-M Checkpoint,8696.906859316538,1.0486883597503702
248,A030206,Mitotic Spindle,8692.602504639559,1.048169333075829
249,A032154,Unfolded Protein Response,8692.57984967179,1.04816660129988
250,A029229,G2-M Checkpoint,8691.830194907498,1.048076206606932
251,A032147,Mitotic Spindle,8691.40135808842,1.0480244967073467
252,A032147,G2-M Checkpoint,8690.468663658186,1.0479120307688226
253,A029219,Mitotic Spindle,8690.464164156505,1.0479114882109781
254,A030213,Mitotic Spindle,8687.298016523202,1.0475297085481616
255,A029219,Oxidative Phosphorylation,8685.281884935988,1.0472865998473975
256,A028335,Mitotic Spindle,8685.00127284314,1.0472527631465869
257,A039971,E2F Targets,8683.05832054064,1.047018478532972
258,A039973,G2-M Checkpoint,8679.970686306724,1.0466461661542545
259,A029218,Unfolded Protein Response,8679.4031483555,1.0465777314276568
260,A032145,G2-M Checkpoint,8678.841317541212,1.0465099848776906
261,A030997,G2-M Checkpoint,8675.66875207293,1.0461274313410194
262,A006690,Oxidative Phosphorylation,8673.598903673785,1.045877845372382
263,A039972,G2-M Checkpoint,8673.019793692318,1.0458080152699785
264,A029228,Oxidative Phosphorylation,8671.62506240262,1.045639836112475
265,A039972,Unfolded Protein Response,8667.093423802213,1.0450934031417976
266,A006690,UV Response Dn,8666.44601145761,1.0450153370200457
267,A029224,Androgen Response,8663.652100993531,1.0446784423712632
268,A032147,Oxidative Phosphorylation,8662.221278845866,1.0445059113144861
269,A032148,G2-M Checkpoint,8661.504991861551,1.0444195401672676
270,A008288,G2-M Checkpoint,8658.841043620778,1.0440983165924649
271,A030982,DNA Repair,8658.2627984581,1.0440285907714353
272,A029227,G2-M Checkpoint,8658.033685971319,1.0440009639839065
273,A008287,G2-M Checkpoint,8654.492443275087,1.0435739546971954
274,A006690,G2-M Checkpoint,8652.101114314615,1.0432856040357767
275,A033918,Androgen Response,8650.231669582741,1.0430601830946047
276,A029220,Androgen Response,8645.684704541156,1.042511902034633
277,A032137,Androgen Response,8643.300454047165,1.04222440490718
278,A030210,Unfolded Protein Response,8640.37008218009,1.0418710555018742
279,A029215,Oxidative Phosphorylation,8638.715518726653,1.0416715453240424
280,A029217,G2-M Checkpoint,8637.656452584004,1.0415438412616709
281,A040093,Unfolded Protein Response,8635.39842407383,1.0412715642035273
282,A028333,G2-M Checkpoint,8631.343724886055,1.0407826414279597
283,A008287,Interferon Alpha Response,8630.542974291659,1.0406860855097475
284,A032139,Mitotic Spindle,8628.540330203887,1.0404446031554415
285,A030210,G2-M Checkpoint,8625.641862330507,1.0400951007899346
286,A039958,E2F Targets,8624.37019807316,1.0399417612721311
287,A029222,Mitotic Spindle,8624.26299707503,1.0399288347868056
288,A039958,Unfolded Protein Response,8623.471600661776,1.039833406812245
289,A008289,G2-M Checkpoint,8621.578772099781,1.0396051662076167
290,A040093,Androgen Response,8618.027728923635,1.0391769751617614
291,A030982,E2F Targets,8616.142435160422,1.0389496431164524
292,A008277,G2-M Checkpoint,8613.439717027535,1.0386237445997162
293,A030205,G2-M Checkpoint,8610.115026918818,1.0382228476057402
294,A029227,Androgen Response,8608.81142528381,1.0380656570226399
295,A030988,E2F Targets,8608.666019174894,1.0380481236977093
296,A029228,Interferon Alpha Response,8607.721247806561,1.0379342015007
297,A030210,Oxidative Phosphorylation,8603.95042022484,1.0374795084637913
298,A032148,DNA Repair,8602.423394696052,1.0372953770337339
299,A029220,G2-M Checkpoint,8601.628262803217,1.0371994986284605
300,A028335,G2-M Checkpoint,8600.393660562208,1.0370506281139187
301,A039973,E2F Targets,8598.749102200514,1.0368523243676862
302,A030997,Mitotic Spindle,8596.442323109264,1.0365741688785404
303,A028340,G2-M Checkpoint,8596.30103372361,1.0365571319553573
304,A030210,Interferon Alpha Response,8594.110419736444,1.0362929838592343
305,A028334,G2-M Checkpoint,8583.351201068199,1.0349956183061801
306,A029214,G2-M Checkpoint,8579.401239877314,1.0345193250229068
307,A030213,Interferon Alpha Response,8578.935261230394,1.0344631364962475
308,A039959,Interferon Alpha Response,8578.359327288128,1.0343936893662495
309,A040104,Androgen Response,8577.379317921188,1.034275518109252
310,A040093,Oxidative Phosphorylation,8576.352790119952,1.0341517375774456
311,A030207,E2F Targets,8574.779619678467,1.0339620419124724
312,A010844,G2-M Checkpoint,8573.345468227428,1.0337891094024256
313,A008289,Interferon Alpha Response,8572.489025030854,1.0336858379720697
314,A032137,Interferon Alpha Response,8570.368853553671,1.0334301839579745
315,A006690,Interferon Alpha Response,8569.180063003472,1.033286837497866
316,A029219,G2-M Checkpoint,8568.239219279874,1.0331733889031829
317,A030206,G2-M Checkpoint,8567.769054111597,1.0331166955583986
318,A029217,Mitotic Spindle,8565.64609377141,1.032860705258286
319,A040104,Interferon Gamma Response,8564.325413982822,1.0327014553613223
320,A035447,G2-M Checkpoint,8556.936439373141,1.031810479777818
321,A029218,G2-M Checkpoint,8554.971586999958,1.031573554415075
322,A032143,G2-M Checkpoint,8554.825316090286,1.0315559168109447
323,A010853,Interferon Alpha Response,8550.553899305773,1.031040861845539
324,A008288,Androgen Response,8550.310952324095,1.0310115668702284
325,A030988,DNA Repair,8547.217039730338,1.0306384974358143
326,A029222,Unfolded Protein Response,8544.02273762897,1.0302533228576085
327,A032145,Interferon Gamma Response,8540.904321753304,1.0298772987742681
328,A030988,Interferon Alpha Response,8539.724233910743,1.0297350017019877
329,A028333,Interferon Alpha Response,8539.504314606342,1.0297084834445958
330,A039959,Androgen Response,8539.483675237303,1.0297059947130944
331,A032148,E2F Targets,8538.458327023804,1.0295823564180568
332,A030989,Mitotic Spindle,8536.615435466472,1.0293601373054782
333,A028333,Mitotic Spindle,8536.438579250498,1.0293388116711992
334,A032139,Interferon Alpha Response,8534.467942328285,1.0291011887973374
335,A029218,Oxidative Phosphorylation,8533.798459010835,1.0290204613187734
336,A032145,PI3K/AKT/mTOR  Signaling,8532.553827833906,1.0288703814974598
337,A035447,E2F Targets,8531.510319883131,1.02874455346929
338,A032148,Androgen Response,8528.11860444741,1.0283355744432336
339,A008277,Interferon Alpha Response,8526.484995665376,1.028138591016618
340,A032143,Androgen Response,8525.17294456711,1.0279803815823436
341,A010844,Interferon Alpha Response,8519.130482865425,1.027251770898879
342,A032147,Interferon Alpha Response,8519.126747615166,1.0272513204958185
343,A039959,E2F Targets,8516.702308380945,1.0269589773392254
344,A006690,Interferon Gamma Response,8508.411011011223,1.0259591980867269
345,A030206,Interferon Alpha Response,8502.454165251205,1.0252409111244296
346,A030989,E2F Targets,8502.390371850568,1.0252332188037276
347,A039959,DNA Repair,8502.07133221199,1.025194748441714
348,A028340,Androgen Response,8499.018460194096,1.0248266277522828
349,A029229,Androgen Response,8498.901874311905,1.024812569621094
350,A040093,Interferon Alpha Response,8498.38779142374,1.0247505806002286
351,A029218,Mitotic Spindle,8496.481765875482,1.0245207486797334
352,A032137,E2F Targets,8496.390506725393,1.0245097444905467
353,A029224,G2-M Checkpoint,8491.529074549284,1.0239235444291606
354,A008277,DNA Repair,8490.035693169204,1.0237434698698613
355,A032137,DNA Repair,8489.95370922507,1.0237335841013586
356,A029214,Androgen Response,8489.593751412924,1.023690179753847
357,A006690,Androgen Response,8485.601717903342,1.0232088133162214
358,A030997,DNA Repair,8484.54045614123,1.0230808445021846
359,A028340,Interferon Alpha Response,8481.636519369196,1.0227306826872375
360,A030205,E2F Targets,8480.50461087779,1.0225941951660484
361,A029228,G2-M Checkpoint,8477.990628756166,1.0222910547702486
362,A030205,DNA Repair,8475.016964000099,1.0219324850320723
363,A040104,Interferon Alpha Response,8472.960712168726,1.0216845385615447
364,A030982,Androgen Response,8470.810242348636,1.0214252311198528
365,A039973,Interferon Alpha Response,8470.037245643467,1.0213320218145274
366,A029228,Unfolded Protein Response,8469.365606822383,1.0212510344215358
367,A033915,PI3K/AKT/mTOR  Signaling,8466.672641589752,1.0209263119267045
368,A032145,mTORC1 Signaling,8463.98221887693,1.0206018960133936
369,A030997,E2F Targets,8463.181342192156,1.0205053248909814
370,A029222,Interferon Alpha Response,8462.725818565961,1.0204503970491512
371,A029221,Mitotic Spindle,8460.346721686274,1.0201635213535958
372,A030207,DNA Repair,8457.652738052844,1.019838676058201
373,A030210,Androgen Response,8456.582944728325,1.01970967849333
374,A029215,Interferon Alpha Response,8454.107806429838,1.0194112219541966
375,A029215,Unfolded Protein Response,8450.843718548065,1.0190176324835736
376,A029221,G2-M Checkpoint,8449.196154794026,1.018818966341834
377,A033918,mTORC1 Signaling,8448.42549661784,1.0187260390204558
378,A029229,E2F Targets,8445.1478366819,1.0183308130076167
379,A006690,TNF-alpha Signaling via NF-kB,8443.541355235619,1.0181371006429656
380,A032145,DNA Repair,8442.939252467204,1.0180644980297808
381,A032143,E2F Targets,8442.067661925004,1.017959400105788
382,A008289,PI3K/AKT/mTOR  Signaling,8441.740061253819,1.0179198974393715
383,A029227,DNA Repair,8440.11324633626,1.0177237332289102
384,A006690,DNA Repair,8436.829311689611,1.017327750600393
385,A035447,DNA Repair,8436.271251812133,1.0172604587566352
386,A029220,Interferon Gamma Response,8431.703159611257,1.0167096301465537
387,A010853,Androgen Response,8425.938598855735,1.0160145292490532
388,A010853,Unfolded Protein Response,8425.834067098183,1.016001924625462
389,A032139,DNA Repair,8424.707483820406,1.0158660792279195
390,A040093,TNF-alpha Signaling via NF-kB,8424.495193975948,1.0158404809442565
391,A029220,E2F Targets,8424.121252882722,1.0157953904680628
392,A030205,Androgen Response,8422.342489850012,1.0155809040860269
393,A008277,E2F Targets,8422.068383214606,1.0155478518247425
394,A029228,DNA Repair,8415.072740555583,1.0147043049012023
395,A030989,DNA Repair,8414.576450928127,1.014644461423079
396,A029217,Interferon Alpha Response,8407.317061628839,1.013769111464731
397,A028333,E2F Targets,8407.026354953345,1.0137340575413505
398,A030997,Interferon Alpha Response,8404.964447737477,1.0134854291345912
399,A040093,p53 Pathway,8401.554352957079,1.013074233894755
400,A029214,Interferon Alpha Response,8394.760389985604,1.0122550058634547
401,A035447,Mitotic Spindle,8393.180616095287,1.012064513942981
402,A008288,PI3K/AKT/mTOR  Signaling,8392.037353027692,1.0119266572669794
403,A028335,Unfolded Protein Response,8391.454046160721,1.0118563210967237
404,A008289,DNA Repair,8391.43337463662,1.0118538284879084
405,A039971,PI3K/AKT/mTOR  Signaling,8390.628028699088,1.0117567184551204
406,A008277,Androgen Response,8390.142871893457,1.0116982173922773
407,A032139,E2F Targets,8384.911602889671,1.0110674217542723
408,A032148,PI3K/AKT/mTOR  Signaling,8383.658587314767,1.010916330927471
409,A029220,DNA Repair,8381.901283980837,1.0107044321937424
410,A029229,DNA Repair,8377.646687168091,1.0101914054101824
411,A035447,Unfolded Protein Response,8377.286721052846,1.0101480000614682
412,A030213,E2F Targets,8377.221710608046,1.0101401609874359
413,A030206,E2F Targets,8377.195929319067,1.0101370522341642
414,A032145,E2F Targets,8375.148049577587,1.0098901152849937
415,A033918,Interferon Alpha Response,8372.994962425772,1.0096304922408286
416,A039959,PI3K/AKT/mTOR  Signaling,8368.402366669261,1.0090767089488146
417,A028340,DNA Repair,8368.3421227975,1.0090694446365616
418,A032143,DNA Repair,8366.359012262752,1.0088303176725122
419,A028333,DNA Repair,8361.246839782261,1.0082138829032259
420,A032148,Interferon Gamma Response,8359.840648294348,1.00804432185482
421,A029220,mTORC1 Signaling,8359.189333737371,1.0079657851974213
422,A040093,Protein Secretion,8359.086002482554,1.007953325332566
423,A030206,DNA Repair,8358.575302658786,1.0078917442475694
424,A030207,Androgen Response,8358.097094704786,1.0078340810895052
